report_section,report_category,change_id,area,change_type,difference_category,identifier,section,page,old_page,new_page,preview,display_title,old_value,new_value,detail,similarity
Structural Changes,Sections added,CHG-0032,section,added,section_added,12.1.9,12.1.9,,,,,,,Supervisor Trap Value (stval) Register,Added section,0.0
Structural Changes,Sections added,CHG-0033,section,added,section_added,12.10,12.10,,,,,,,"""Svadu"" Extension for Hardware Updating of A/D Bits, Version 1.0",Added section,0.0
Structural Changes,Sections added,CHG-0034,section,added,section_added,12.11,12.11,,,,,,,"""Svvptc"" Extension for Obviating Memory-Management Instructions after Marking PTEs",Added section,0.0
Structural Changes,Sections added,CHG-0035,section,added,section_added,12.12,12.12,,,,,,,"""Svrsw60t59b"" Extension for PTE Reserved-for-Software Bits 60-59,",Added section,0.0
Structural Changes,Sections added,CHG-0036,section,added,section_added,12.13,12.13,,,,,,,"""Ssqosid"" Extension for Quality-of-Service (QoS) Identifiers, Version 1.0 | Page 145",Added section,0.0
Structural Changes,Sections added,CHG-0037,section,added,section_added,12.1:120,12.1:120,,,,,,,Supervisor CSRs | Page 122,Added section,0.0
Structural Changes,Sections added,CHG-0038,section,added,section_added,12.1:122,12.1:122,,,,,,,Supervisor CSRs | Page 124,Added section,0.0
Structural Changes,Sections added,CHG-0039,section,added,section_added,12.2,12.2,,,,,,,Supervisor Instructions,Added section,0.0
Structural Changes,Sections added,CHG-0040,section,added,section_added,12.2:125,12.2:125,,,,,,,Supervisor Instructions | Page 127,Added section,0.0
Structural Changes,Sections added,CHG-0041,section,added,section_added,12.2:126,12.2:126,,,,,,,Supervisor Instructions | Page 128,Added section,0.0
Structural Changes,Sections added,CHG-0042,section,added,section_added,12.3,12.3,,,,,,,Sv32: Page-Based 32-bit Virtual-Memory Systems,Added section,0.0
Structural Changes,Sections added,CHG-0043,section,added,section_added,12.3.2,12.3.2,,,,,,,Virtual Address Translation Process,Added section,0.0
Structural Changes,Sections added,CHG-0044,section,added,section_added,12.3:128,12.3:128,,,,,,,Sv32: Page-Based 32-bit Virtual-Memory Systems | Page 130,Added section,0.0
Structural Changes,Sections added,CHG-0045,section,added,section_added,12.3:129,12.3:129,,,,,,,Sv32: Page-Based 32-bit Virtual-Memory Systems | Page 131,Added section,0.0
Structural Changes,Sections added,CHG-0046,section,added,section_added,12.3:130,12.3:130,,,,,,,Sv32: Page-Based 32-bit Virtual-Memory Systems | Page 132,Added section,0.0
Structural Changes,Sections added,CHG-0047,section,added,section_added,12.3:132,12.3:132,,,,,,,Sv32: Page-Based 32-bit Virtual-Memory Systems | Page 134,Added section,0.0
Structural Changes,Sections added,CHG-0048,section,added,section_added,12.4,12.4,,,,,,,Sv39: Page-Based 39-bit Virtual-Memory System,Added section,0.0
Structural Changes,Sections added,CHG-0049,section,added,section_added,12.5,12.5,,,,,,,Sv48: Page-Based 48-bit Virtual-Memory System,Added section,0.0
Structural Changes,Sections added,CHG-0050,section,added,section_added,12.6,12.6,,,,,,,Sv57: Page-Based 57-bit Virtual-Memory System,Added section,0.0
Structural Changes,Sections added,CHG-0051,section,added,section_added,12.7,12.7,,,,,,,"""Svnapot"" Extension for NAPOT Translation Contiguity, Version 1.0",Added section,0.0
Structural Changes,Sections added,CHG-0052,section,added,section_added,12.7:137,12.7:137,,,,,,,"""Svnapot"" Extension for NAPOT Translation Contiguity, Version 1.0 | Page 139",Added section,0.0
Structural Changes,Sections added,CHG-0053,section,added,section_added,12.8,12.8,,,,,,,"""Svpbmt"" Extension for Page-Based Memory Types, Version 1.0",Added section,0.0
Structural Changes,Sections added,CHG-0054,section,added,section_added,12.9,12.9,,,,,,,"""Svinval"" Extension for Fine-Grained Address-Translation Cache",Added section,0.0
Structural Changes,Sections added,CHG-0055,section,added,section_added,12.9:140,12.9:140,,,,,,,"""Svinval"" Extension for Fine-Grained Address-Translation Cache Invalidation, Version 1.0 | Page 142",Added section,0.0
Structural Changes,Sections added,CHG-0056,section,added,section_added,14.1,14.1,,,,,,,Count Overflow Control,Added section,0.0
Structural Changes,Sections added,CHG-0057,section,added,section_added,14.2,14.2,,,,,,,Supervisor Count Overflow (scountovf) Register,Added section,0.0
Structural Changes,Sections added,CHG-0058,section,added,section_added,15.1,15.1,,,,,,,Privilege Modes,Added section,0.0
Structural Changes,Sections added,CHG-0059,section,added,section_added,15.2,15.2,,,,,,,Hypervisor and Virtual Supervisor CSRs,Added section,0.0
Structural Changes,Sections added,CHG-0060,section,added,section_added,15.2.1,15.2.1,,,,,,,Hypervisor Status (hstatus) Register,Added section,0.0
Structural Changes,Sections added,CHG-0061,section,added,section_added,15.2.11,15.2.11,,,,,,,Virtual Supervisor Status (vsstatus) Register,Added section,0.0
Structural Changes,Sections added,CHG-0062,section,added,section_added,15.2.12,15.2.12,,,,,,,Virtual Supervisor Interrupt (vsip and vsie) Registers,Added section,0.0
Structural Changes,Sections added,CHG-0063,section,added,section_added,15.2.14,15.2.14,,,,,,,Virtual Supervisor Scratch (vsscratch) Register,Added section,0.0
Structural Changes,Sections added,CHG-0064,section,added,section_added,15.2.18,15.2.18,,,,,,,Virtual Supervisor Address Translation and Protection (vsatp) Register,Added section,0.0
Structural Changes,Sections added,CHG-0065,section,added,section_added,15.2.2,15.2.2,,,,,,,Hypervisor Trap Delegation (hedeleg and hideleg) Registers............................................................... 152,Added section,0.0
Structural Changes,Sections added,CHG-0066,section,added,section_added,15.2.2:149,15.2.2:149,,,,,,,Hypervisor Trap Delegation (hedeleg and hideleg) Registers,Added section,0.0
Structural Changes,Sections added,CHG-0067,section,added,section_added,15.2.3,15.2.3,,,,,,,"Hypervisor Interrupt (hvip, hip, and hie) Registers",Added section,0.0
Structural Changes,Sections added,CHG-0068,section,added,section_added,15.2.4,15.2.4,,,,,,,Hypervisor Guest External Interrupt Registers (hgeip and hgeie),Added section,0.0
Structural Changes,Sections added,CHG-0069,section,added,section_added,15.2.5,15.2.5,,,,,,,Hypervisor Environment Configuration Register (henvcfg),Added section,0.0
Structural Changes,Sections added,CHG-0070,section,added,section_added,15.2.6,15.2.6,,,,,,,Hypervisor Counter-Enable (hcounteren) Register,Added section,0.0
Structural Changes,Sections added,CHG-0071,section,added,section_added,15.2.8,15.2.8,,,,,,,Hypervisor Trap Value (htval) Register,Added section,0.0
Structural Changes,Sections added,CHG-0072,section,added,section_added,15.2.9,15.2.9,,,,,,,Hypervisor Trap Instruction (htinst) Register,Added section,0.0
Structural Changes,Sections added,CHG-0073,section,added,section_added,15.2:150,15.2:150,,,,,,,Hypervisor and Virtual Supervisor CSRs | Page 153,Added section,0.0
Structural Changes,Sections added,CHG-0074,section,added,section_added,15.2:152,15.2:152,,,,,,,Hypervisor and Virtual Supervisor CSRs | Page 155,Added section,0.0
Structural Changes,Sections added,CHG-0075,section,added,section_added,15.2:155,15.2:155,,,,,,,Hypervisor and Virtual Supervisor CSRs | Page 158,Added section,0.0
Structural Changes,Sections added,CHG-0076,section,added,section_added,15.2:160,15.2:160,,,,,,,Hypervisor and Virtual Supervisor CSRs | Page 163,Added section,0.0
Structural Changes,Sections added,CHG-0077,section,added,section_added,15.3,15.3,,,,,,,Hypervisor Instructions,Added section,0.0
Structural Changes,Sections added,CHG-0078,section,added,section_added,15.3.2,15.3.2,,,,,,,Hypervisor Memory-Management Fence Instructions,Added section,0.0
Structural Changes,Sections added,CHG-0079,section,added,section_added,15.4,15.4,,,,,,,Machine-Level CSRs,Added section,0.0
Structural Changes,Sections added,CHG-0080,section,added,section_added,15.4.2,15.4.2,,,,,,,Machine Interrupt Delegation (mideleg) Register,Added section,0.0
Structural Changes,Sections added,CHG-0081,section,added,section_added,15.4.4,15.4.4,,,,,,,Machine Second Trap Value (mtval2) Register,Added section,0.0
Structural Changes,Sections added,CHG-0082,section,added,section_added,15.4:167,15.4:167,,,,,,,Machine-Level CSRs | Page 170,Added section,0.0
Structural Changes,Sections added,CHG-0083,section,added,section_added,15.5,15.5,,,,,,,Two-Stage Address Translation,Added section,0.0
Structural Changes,Sections added,CHG-0084,section,added,section_added,15.5.2,15.5.2,,,,,,,Guest-Page Faults,Added section,0.0
Structural Changes,Sections added,CHG-0085,section,added,section_added,15.5.4,15.5.4,,,,,,,Interaction with Pointer Masking,Added section,0.0
Structural Changes,Sections added,CHG-0086,section,added,section_added,15.5:171,15.5:171,,,,,,,Two-Stage Address Translation | Page 174,Added section,0.0
Structural Changes,Sections added,CHG-0087,section,added,section_added,15.6,15.6,,,,,,,Traps,Added section,0.0
Structural Changes,Sections added,CHG-0088,section,added,section_added,15.6.2,15.6.2,,,,,,,Trap Entry,Added section,0.0
Structural Changes,Sections added,CHG-0089,section,added,section_added,15.6.3,15.6.3,,,,,,,Transformed Instruction or Pseudoinstruction for mtinst or htinst,Added section,0.0
Structural Changes,Sections added,CHG-0090,section,added,section_added,15.6.4,15.6.4,,,,,,,Trap Return,Added section,0.0
Structural Changes,Sections added,CHG-0091,section,added,section_added,15.6:175,15.6:175,,,,,,,Traps | Page 178,Added section,0.0
Structural Changes,Sections added,CHG-0092,section,added,section_added,15.6:176,15.6:176,,,,,,,Traps | Page 179,Added section,0.0
Structural Changes,Sections added,CHG-0093,section,added,section_added,15.6:179,15.6:179,,,,,,,Traps | Page 182,Added section,0.0
Structural Changes,Sections added,CHG-0094,section,added,section_added,15.6:180,15.6:180,,,,,,,Traps | Page 183,Added section,0.0
Structural Changes,Sections added,CHG-0095,section,added,section_added,15.6:181,15.6:181,,,,,,,Traps | Page 184,Added section,0.0
Structural Changes,Sections added,CHG-0096,section,added,section_added,15.6:183,15.6:183,,,,,,,Traps | Page 186,Added section,0.0
Structural Changes,Sections added,CHG-0097,section,added,section_added,16.1,16.1,,,,,,,Landing Pad (Zicfilp),Added section,0.0
Structural Changes,Sections added,CHG-0098,section,added,section_added,16.1.2,16.1.2,,,,,,,Preserving Expected Landing Pad State on Traps,Added section,0.0
Structural Changes,Sections added,CHG-0099,section,added,section_added,16.2,16.2,,,,,,,Shadow Stack (Zicfiss),Added section,0.0
Structural Changes,Sections added,CHG-0100,section,added,section_added,16.2.3,16.2.3,,,,,,,Shadow Stack Memory Protection,Added section,0.0
Structural Changes,Sections added,CHG-0101,section,added,section_added,16.2:188,16.2:188,,,,,,,Shadow Stack (Zicfiss) | Page 191,Added section,0.0
Structural Changes,Sections added,CHG-0102,section,added,section_added,16.2:189,16.2:189,,,,,,,Shadow Stack (Zicfiss) | Page 192,Added section,0.0
Structural Changes,Sections added,CHG-0103,section,added,section_added,18.1,18.1,,,,,,,Introduction......................................................................................................................................................................... 194,Added section,0.0
Structural Changes,Sections added,CHG-0104,section,added,section_added,18.1:190,18.1:190,,,,,,,Introduction,Added section,0.0
Structural Changes,Sections added,CHG-0105,section,added,section_added,18.2,18.2,,,,,,,Background | Page 198,Added section,0.0
Structural Changes,Sections added,CHG-0106,section,added,section_added,18.2.2,18.2.2,,,,,,,The “Ignore” Transformation,Added section,0.0
Structural Changes,Sections added,CHG-0107,section,added,section_added,18.2.3,18.2.3,,,,,,,Example,Added section,0.0
Structural Changes,Sections added,CHG-0108,section,added,section_added,18.2.5,18.2.5,,,,,,,Pointer Masking and Privilege Modes,Added section,0.0
Structural Changes,Sections added,CHG-0109,section,added,section_added,18.2.7,18.2.7,,,,,,,Pointer Masking Extensions,Added section,0.0
Structural Changes,Sections added,CHG-0110,section,added,section_added,18.2.8,18.2.8,,,,,,,Number of Masked Bits,Added section,0.0
Structural Changes,Sections added,CHG-0111,section,added,section_added,2.1,2.1,,,,,,,CSR Address Mapping Conventions,Added section,0.0
Structural Changes,Sections added,CHG-0112,section,added,section_added,2.1:11,2.1:11,,,,,,,CSR Address Mapping Conventions | Page 14,Added section,0.0
Structural Changes,Sections added,CHG-0113,section,added,section_added,2.1:12,2.1:12,,,,,,,CSR Address Mapping Conventions | Page 15,Added section,0.0
Structural Changes,Sections added,CHG-0114,section,added,section_added,2.2,2.2,,,,,,,CSR Listing,Added section,0.0
Structural Changes,Sections added,CHG-0115,section,added,section_added,2.2.2,2.2.2,,,,,,,Currently allocated RISC-V supervisor-level CSR addresses,Added section,0.0
Structural Changes,Sections added,CHG-0116,section,added,section_added,2.2.3,2.2.3,,,,,,,Currently allocated RISC-V hypervisor and VS CSR addresses,Added section,0.0
Structural Changes,Sections added,CHG-0117,section,added,section_added,2.2.4,2.2.4,,,,,,,Currently allocated RISC-V machine-level CSR addresses,Added section,0.0
Structural Changes,Sections added,CHG-0118,section,added,section_added,2.2.5,2.2.5,,,,,,,Currently allocated RISC-V indirect CSR (Smcsrind) mappings,Added section,0.0
Structural Changes,Sections added,CHG-0119,section,added,section_added,2.2:16,2.2:16,,,,,,,CSR Listing | Page 19,Added section,0.0
Structural Changes,Sections added,CHG-0120,section,added,section_added,2.2:18,2.2:18,,,,,,,CSR Listing | Page 21,Added section,0.0
Structural Changes,Sections added,CHG-0121,section,added,section_added,2.2:19,2.2:19,,,,,,,CSR Listing | Page 22,Added section,0.0
Structural Changes,Sections added,CHG-0122,section,added,section_added,2.3,2.3,,,,,,,CSR Field Specifications,Added section,0.0
Structural Changes,Sections added,CHG-0123,section,added,section_added,2.3.1,2.3.1,,,,,,,"Reserved Writes Preserve Values, Reads Ignore Values (WPRI)",Added section,0.0
Structural Changes,Sections added,CHG-0124,section,added,section_added,2.3.2,2.3.2,,,,,,,Write/Read Only Legal Values (WLRL),Added section,0.0
Structural Changes,Sections added,CHG-0125,section,added,section_added,2.3:23,2.3:23,,,,,,,CSR Field Specifications | Page 24,Added section,0.0
Structural Changes,Sections added,CHG-0126,section,added,section_added,2.5,2.5,,,,,,,Implicit Reads of CSRs,Added section,0.0
Structural Changes,Sections added,CHG-0127,section,added,section_added,20.1,20.1,,,,,,,Research Funding at UC Berkeley,Added section,0.0
Structural Changes,Sections added,CHG-0128,section,added,section_added,3.1,3.1,,,,,,,Machine-Level CSRs,Added section,0.0
Structural Changes,Sections added,CHG-0129,section,added,section_added,3.1.10,3.1.10,,,,,,,Hardware Performance Monitor,Added section,0.0
Structural Changes,Sections added,CHG-0130,section,added,section_added,3.1.12,3.1.12,,,,,,,Machine Counter-Inhibit (mcountinhibit) Register..................................................................................... 47,Added section,0.0
Structural Changes,Sections added,CHG-0131,section,added,section_added,3.1.12:46,3.1.12:46,,,,,,,Machine Counter-Inhibit (mcountinhibit) Register,Added section,0.0
Structural Changes,Sections added,CHG-0132,section,added,section_added,3.1.14,3.1.14,,,,,,,Machine Exception Program Counter (mepc) Register,Added section,0.0
Structural Changes,Sections added,CHG-0133,section,added,section_added,3.1.16,3.1.16,,,,,,,Machine Trap Value (mtval) Register,Added section,0.0
Structural Changes,Sections added,CHG-0134,section,added,section_added,3.1.17,3.1.17,,,,,,,Machine Configuration Pointer (mconfigptr) Register,Added section,0.0
Structural Changes,Sections added,CHG-0135,section,added,section_added,3.1.18,3.1.18,,,,,,,Machine Environment Configuration (menvcfg) Register,Added section,0.0
Structural Changes,Sections added,CHG-0136,section,added,section_added,3.1.19,3.1.19,,,,,,,Machine Security Configuration (mseccfg) Register,Added section,0.0
Structural Changes,Sections added,CHG-0137,section,added,section_added,3.1.2,3.1.2,,,,,,,Machine Vendor ID (mvendorid) Register,Added section,0.0
Structural Changes,Sections added,CHG-0138,section,added,section_added,3.1.3,3.1.3,,,,,,,Machine Architecture ID (marchid) Register,Added section,0.0
Structural Changes,Sections added,CHG-0139,section,added,section_added,3.1.5,3.1.5,,,,,,,Hart ID (mhartid) Register,Added section,0.0
Structural Changes,Sections added,CHG-0140,section,added,section_added,3.1.6.2,3.1.6.2,,,,,,,Double Trap Control in mstatus Register,Added section,0.0
Structural Changes,Sections added,CHG-0141,section,added,section_added,3.1.6.3,3.1.6.3,,,,,,,Base ISA Control in mstatus Register,Added section,0.0
Structural Changes,Sections added,CHG-0142,section,added,section_added,3.1.6.5,3.1.6.5,,,,,,,Endianness Control in mstatus and mstatush Registers,Added section,0.0
Structural Changes,Sections added,CHG-0143,section,added,section_added,3.1.6.6,3.1.6.6,,,,,,,Virtualization Support in mstatus Register,Added section,0.0
Structural Changes,Sections added,CHG-0144,section,added,section_added,3.1.6.7,3.1.6.7,,,,,,,Extension Context Status in mstatus Register,Added section,0.0
Structural Changes,Sections added,CHG-0145,section,added,section_added,3.1.6.8,3.1.6.8,,,,,,,Previous Expected Landing Pad (ELP) State in mstatus Register,Added section,0.0
Structural Changes,Sections added,CHG-0146,section,added,section_added,3.1.8,3.1.8,,,,,,,Machine Trap Delegation (medeleg and mideleg) Registers,Added section,0.0
Structural Changes,Sections added,CHG-0147,section,added,section_added,3.1.9,3.1.9,,,,,,,Machine Interrupt (mip and mie) Registers,Added section,0.0
Structural Changes,Sections added,CHG-0148,section,added,section_added,3.1:27,3.1:27,,,,,,,Machine-Level CSRs | Page 28,Added section,0.0
Structural Changes,Sections added,CHG-0149,section,added,section_added,3.1:31,3.1:31,,,,,,,Machine-Level CSRs | Page 32,Added section,0.0
Structural Changes,Sections added,CHG-0150,section,added,section_added,3.1:37,3.1:37,,,,,,,Machine-Level CSRs | Page 38,Added section,0.0
Structural Changes,Sections added,CHG-0151,section,added,section_added,3.1:38,3.1:38,,,,,,,Machine-Level CSRs | Page 39,Added section,0.0
Structural Changes,Sections added,CHG-0152,section,added,section_added,3.1:39,3.1:39,,,,,,,Machine-Level CSRs | Page 40,Added section,0.0
Structural Changes,Sections added,CHG-0153,section,added,section_added,3.1:43,3.1:43,,,,,,,Machine-Level CSRs | Page 44,Added section,0.0
Structural Changes,Sections added,CHG-0154,section,added,section_added,3.1:44,3.1:44,,,,,,,Machine-Level CSRs | Page 45,Added section,0.0
Structural Changes,Sections added,CHG-0155,section,added,section_added,3.1:48,3.1:48,,,,,,,Machine-Level CSRs | Page 49,Added section,0.0
Structural Changes,Sections added,CHG-0156,section,added,section_added,3.1:49,3.1:49,,,,,,,Machine-Level CSRs | Page 50,Added section,0.0
Structural Changes,Sections added,CHG-0157,section,added,section_added,3.1:50,3.1:50,,,,,,,Machine-Level CSRs | Page 51,Added section,0.0
Structural Changes,Sections added,CHG-0158,section,added,section_added,3.1:54,3.1:54,,,,,,,Machine-Level CSRs | Page 55,Added section,0.0
Structural Changes,Sections added,CHG-0159,section,added,section_added,3.1:56,3.1:56,,,,,,,Machine-Level CSRs | Page 57,Added section,0.0
Structural Changes,Sections added,CHG-0160,section,added,section_added,3.1:57,3.1:57,,,,,,,Machine-Level CSRs | Page 58,Added section,0.0
Structural Changes,Sections added,CHG-0161,section,added,section_added,3.2,3.2,,,,,,,Machine-Level Memory-Mapped Registers,Added section,0.0
Structural Changes,Sections added,CHG-0162,section,added,section_added,3.3,3.3,,,,,,,Machine-Mode Privileged Instructions,Added section,0.0
Structural Changes,Sections added,CHG-0163,section,added,section_added,3.3.2,3.3.2,,,,,,,Trap-Return Instructions,Added section,0.0
Structural Changes,Sections added,CHG-0164,section,added,section_added,3.3.4,3.3.4,,,,,,,Custom SYSTEM Instructions,Added section,0.0
Structural Changes,Sections added,CHG-0165,section,added,section_added,3.5,3.5,,,,,,,Non-Maskable Interrupts,Added section,0.0
Structural Changes,Sections added,CHG-0166,section,added,section_added,3.6.1,3.6.1,,,,,,,Main Memory versus I/O Regions,Added section,0.0
Structural Changes,Sections added,CHG-0167,section,added,section_added,3.6.2,3.6.2,,,,,,,Supported Access Type PMAs,Added section,0.0
Structural Changes,Sections added,CHG-0168,section,added,section_added,3.6.3.2,3.6.3.2,,,,,,,Reservability PMA,Added section,0.0
Structural Changes,Sections added,CHG-0169,section,added,section_added,3.6.5,3.6.5,,,,,,,Memory-Ordering PMAs,Added section,0.0
Structural Changes,Sections added,CHG-0170,section,added,section_added,3.6.6,3.6.6,,,,,,,Coherence and Cacheability PMAs,Added section,0.0
Structural Changes,Sections added,CHG-0171,section,added,section_added,3.6.7,3.6.7,,,,,,,Idempotency PMAs,Added section,0.0
Structural Changes,Sections added,CHG-0172,section,added,section_added,3.7.1,3.7.1,,,,,,,Physical Memory Protection CSRs,Added section,0.0
Structural Changes,Sections added,CHG-0173,section,added,section_added,3.7.1.1,3.7.1.1,,,,,,,Address Matching,Added section,0.0
Structural Changes,Sections added,CHG-0174,section,added,section_added,3.7.1.2,3.7.1.2,,,,,,,Locking and Privilege Mode,Added section,0.0
Structural Changes,Sections added,CHG-0175,section,added,section_added,3.7.2,3.7.2,,,,,,,Physical Memory Protection and Paging,Added section,0.0
Structural Changes,Sections added,CHG-0176,section,added,section_added,4.1,4.1,,,,,,,State Enable Extensions,Added section,0.0
Structural Changes,Sections added,CHG-0177,section,added,section_added,4.1:74,4.1:74,,,,,,,State Enable Extensions | Page 75,Added section,0.0
Structural Changes,Sections added,CHG-0178,section,added,section_added,4.2,4.2,,,,,,,State Enable 0 Registers,Added section,0.0
Structural Changes,Sections added,CHG-0179,section,added,section_added,4.2:76,4.2:76,,,,,,,State Enable 0 Registers | Page 77,Added section,0.0
Structural Changes,Sections added,CHG-0180,section,added,section_added,4.3,4.3,,,,,,,Usage,Added section,0.0
Structural Changes,Sections added,CHG-0181,section,added,section_added,4.3:78,4.3:78,,,,,,,Usage | Page 79,Added section,0.0
Structural Changes,Sections added,CHG-0182,section,added,section_added,5.1,5.1,,,,,,,Introduction,Added section,0.0
Structural Changes,Sections added,CHG-0183,section,added,section_added,5.3,5.3,,,,,,,Supervisor-level CSRs,Added section,0.0
Structural Changes,Sections added,CHG-0184,section,added,section_added,5.4,5.4,,,,,,,Virtual Supervisor-level CSRs,Added section,0.0
Structural Changes,Sections added,CHG-0185,section,added,section_added,5.5,5.5,,,,,,,Access control by the state-enable CSRs,Added section,0.0
Structural Changes,Sections added,CHG-0186,section,added,section_added,5.5:83,5.5:83,,,,,,,Access control by the state-enable CSRs | Page 84,Added section,0.0
Structural Changes,Sections added,CHG-0187,section,added,section_added,6.1,6.1,,,,,,,Threat model........................................................................................................................................................................... 85,Added section,0.0
Structural Changes,Sections added,CHG-0188,section,added,section_added,6.1:84,6.1:84,,,,,,,Threat model,Added section,0.0
Structural Changes,Sections added,CHG-0189,section,added,section_added,6.2,6.2,,,,,,,Smepmp Physical Memory Protection Rules,Added section,0.0
Structural Changes,Sections added,CHG-0190,section,added,section_added,6.3,6.3,,,,,,,Smepmp software discovery,Added section,0.0
Structural Changes,Sections added,CHG-0191,section,added,section_added,7.1,7.1,,,,,,,Introduction,Added section,0.0
Structural Changes,Sections added,CHG-0192,section,added,section_added,7.3,7.3,,,,,,,Counter Behavior,Added section,0.0
Structural Changes,Sections added,CHG-0193,section,added,section_added,8.1,8.1,,,,,,,RNMI Interrupt Signals,Added section,0.0
Structural Changes,Sections added,CHG-0194,section,added,section_added,8.3,8.3,,,,,,,RNMI CSRs | Page 91,Added section,0.0
Structural Changes,Sections added,CHG-0195,section,added,section_added,8.4,8.4,,,,,,,MNRET Instruction,Added section,0.0
Structural Changes,Sections added,CHG-0196,section,added,section_added,9.1,9.1,,,,,,,Counter Delegation,Added section,0.0
Structural Changes,Sections added,CHG-0197,section,added,section_added,9.2,9.2,,,,,,,Supervisor Counter Inhibit (scountinhibit) Register,Added section,0.0
Structural Changes,Sections added,CHG-0198,section,added,section_added,9.4,9.4,,,,,,,Virtualizing Local-Counter-Overflow Interrupts,Added section,0.0
